vmstat output:
Run 1: -r 10000 -c 10000 -i r -s n:
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 359652   1744     44    500 6684 7504  9404  7504 2617 5690  6  9  0 86  0
 0  2 358764   2164     44    200 6512 5920 11680  5920 2604 5542  5  8  0 86  0
 0  1 358980   2020     44    208 7212 7380 10772  7380 3008 5807  1 13  0 86  0
 0  1 359012   1908     44   1228 6600 6196 13752  6196 2877 5761  4 11  0 85  0
 1  1 358120   1500     44    488 6528 7632  9092  7632 3083 5688  3 10  0 87  0
 0  1 359020   2424     44    208 6784 6584  8848  6584 2876 5810  3 10  0 86  0
 1  2 359384   2004     44    220 5468 5656  8840  5656 2309 4866  3 10  0 87  0
 0  2 358792   2176     44    400 6300 5912  8564  5912 2631 5420  7 11  0 83  0
 3  0 359040   1828     44    300 6664 6380 13072  6380 2577 5519  3  9  0 88  0
 0  1 358944   1536     44    408 6364 6272  8444  6272 3120 5525  4 14  0 82  0
 1  1 358384   2008     44    500 6380 6092  9844  6092 2648 5453  2  9  0 89  0
 3  0 359460   1804     44    224 6640 9208 10392  9208 2969 5775  4 12  0 84  0
 2  1 358360   1716     44    480 6848 4100 10296  4100 2676 5813  6  4  0 90  0
 0  2 358788   1896     44    484 7176 7212 11596  7212 2811 5973  2 14  0 84  0
 0  2 357856   1780     44    224 7044 7072 11972  7072 3351 6160  4 16  0 81  0
 0  1 359488   2080     44    760 4840 5560  7824  5560 2350 4350  3 11  0 86  0
 0  1 358164   1520     44    424 6596 8952  8100  8952 3022 5721  6 14  0 80  0
 0  2 360432   1880    172   1428 6572 5148 11324  5148 2853 5635  5 11  0 84  0
 0  1 359576   2084     44   1396 6752 5880  9056  5880 2673 6084  2  5  0 93  0
 0  1 360152   1736     44    532 6564 7180  8960  7180 2735 5652  8 13  0 79  0
 0  1 360124   2148     44    540 7060 7020  9648  7020 2556 5945  5  6  0 90  0
 0  1 360220   1920     44    200 6508 6544 10712  6544 1963 5526  4  6  0 90  0
 1  1 362048   2148     44    444 7656 9532  9728  9532 2256 6387  6  5  0 90  0
 2  0 359020   1764    440   1388 7468 4576 10604  4576 2191 6049  5  5  0 91  0
 0  2 359632   1796     44    376 5464 9672  7760  9672 1641 4532  2  2  0 95  0
 0  1 361796   2180     44    412 7316 7772 11052  7772 2165 5985  6  2  0 92  0
 0  1 361548   2268     44    556 6760 7388  8756  7388 1920 5397  2  5  0 93  0
End of run 3.
 0  0  22008  52416    932   5504 4292 6796 10380  6796 1358 3486  2  3 43 51  0
 0  0  21876  50820   1208   6596  216    0  1548     0   72  126  0  1 97  2  0
Run 4: -r 10000 -c 10000 -i c -s n:
 2  0  45456   1648     44    348  128 26968  2716 26968  437  860 24 16 57  3  0
 2  0 143060   2164     44    224  272 118684  6256 118684  832 1917 70 23  0  6  0
 2  0 263160   1988     44    244  188 106540  3952 106540  899 2128 64 31  0  5  0
 2  1 356048   6700     44   1488 1848 93820  9476 93820  933 1945 59 23  0 18  0
 2  0 362808   2000     52    624 3808 21848 23784 21848 1385 3799 16 12  0 71  0
 0  1 362404   2144     48    428 8028 7788  9932  7788 2291 6427  5  5  0 91  0
 2  1 358372   2312     44    604 8220 4272 10668  4272 2417 6805  6  2  0 92  0
 2  1 362496   2012     44    436 7940 11968 10784 11968 2392 6617  6  8  0 87  0
 0  1 361124   1760     44    552 7076 5680  9224  5680 2094 5879  2  2  0 95  0
End of run 4.
 0  0  21920  51324    928   6372 7808 18684 22932 18684 2395 6286  4 12  7 78  0
 0  0  21808  49440    928   7920  312    0  1836     0  115  278  0  0 97  3  0
Run 5: -r 10000 -c 10000 -i c -s r:
 1  0  21844   2004   1032   7116   16   88   260    88   80  106  3  3 94  0  0
 2  0  95852   1480     44    480 2132 80472  8508 80472  974 2347 55 25  0 20  0
 2  0 183904   1776     44    320 1092 134692 11680 134692  855 1945 60 27  0 13  0
 2  0 280740   1696     44    276 4712 115240 10860 115240 1390 3285 46 30  0 24  0
 3  1 364268   1672     44    400 4656 70228  9184 70228 1081 2495 57 25  0 18  0
 0  1 363224   1808     44    536 8620 9244 10644  9244 2255 6058  6  6  0 89  0
 0  1 379448   2532     44    540 7472 24184  9724 24184 2165 6088  3  5  0 92  0
 0  2 365760   1724     44    568 8972 2052 13172  2052 2130 5710  5  7  0 89  0
 0  1 366448   2160    104    612 8708 11804 13132 11804 2280 6301  5  4  0 92  0
 0  1 360688   1980     44    336 8260 3504 10112  3504 2275 6379  7  6  0 88  0
 0  1 360344   3028     44    476 7468 7264 10472  7264 2215 6237  2  3  0 94  0
 0  1 358640   2512     44    444 7320 6668  9076  6668 2216 6100  0  3  0 97  0
 2  1 362972   2392     44   1236 5396 8772  5672  8772 1761 4613  0  5  0 95  0
 1  1 361632   1944     48   1892 7628 6216 10512  6216 2295 6188  1  3  0 95  0
 0  1 364152   3580     48   1112 6500 9008  7336  9008 2157 5396  0  6  0 94  0
 1  1 359984   2124     48   1272 7308 3220  7396  3220 2451 6078  0  3  0 97  0
 0  1 359008   1800     48   1260 7244 6276  7508  6276 2140 5963  1  1  0 98  0
 1  1 369080   1968     44    844 4764 14784  6608 14784 1849 4145  0  5  0 95  0
 1  1 362036   1940     44   2584 7416  408  9064   408 2219 6161  0  2  0 98  0
 2  2 362564   2032     44   2576 7116 7644  7116  7644 2527 5930  0  7  0 93  0
 2  1 362624   1812     44   2320 7180 7232  7180  7232 2459 5935  0  7  0 93  0
 1  1 359744   1936     44    312 7364 7108  9588  7108 2155 6104  0  4  0 96  0
 0  1 359864   1456     44    776 7464 5004  9200  5004 2975 6331  0  9  0 91  0
 2  1 361428   1876     44   2628 6644 8160  8604  8160 2366 5632  0  6  0 94  0
 0  1 360512   1884     44   2384 4952 4036  4952  4036 1841 4315  0  5  0 95  0
 0  1 360096   2232     44    616 7156 6732  7484  6732 2722 6023  0  6  0 94  0
 2  1 359604   2032     44    560 6536 6052  6556  6052 2425 5524  0  7  0 93  0
 0  1 363160   1808     44    716 6812 10368  7332 10368 2395 5723  0  7  0 93  0
 2  2 360284   1412     52   2448 6700 3824  9120  3824 2602 5656  0  8  0 92  0
 1  1 363752   2676     52   2224 6532 10000  6532 10000 2700 5526  0  8  0 92  0
 2  1 361396   1756     52   2112 6576 4220  6576  4220 2431 5566  0  5  0 95  0
 1  1 362468   2148     52    588 6476 7936  7180  7936 2515 5494  1  7  0 92  0
 0  2 359152   1756     44    432 6864 3624  8500  3624 2405 5777  0  3  0 97  0
 0  1 364752   4504     48   2892 2860 7996  5096  7996 1311 2691  0  7  0 93  0
 4  2 360792   1420     48   2516 6988 3032  6988  3032 2527 5813  0  7  0 93  0
 0  2 364804   1800     48   2332 7200 11208  7200 11208 3152 6093  0  7  0 93  0
 0  1 360620   2112     48   1804 7120 2936  7120  2936 2706 5995  0  5  0 95  0
 0  1 370612   2544     44   2108 6192 16144 15152 16144 2633 5230  0 13  0 88  0
 2  1 364792   2156     44   3432 7024 1212  8672  1212 2230 5877  1  4  0 94  0
 2  1 361940   2028     44   3408 7176 4324  7176  4324 2782 6024  0  5  0 95  0
 1  1 362696   2100     44   3364 7044 7804  7044  7804 2880 5973  0 10  0 90  0
 0  1 359388   2132     88   1016 7564 4220  8556  4220 2894 6303  0  2  0 98  0
 0  1 361700   2100     44    936 3788 6076  5380  6076 1907 3478  0  5  0 95  0
 0  1 364616   1784     48   2964 6004 8952  8140  8952 2128 5096  0  4  0 96  0
 0  1 362192   2120     48   2908 6708 4284  6708  4284 2369 5610  0  6  0 94  0
 2  1 361096   2112     48   2780 7144 6008  7160  6008 3066 6036  0 10  0 90  0
 0  2 359004   1464     44    288 6744 5428  8172  5428 2705 5779  0  8  0 92  0
 0  1 360656   2204     44    772 6640 7444  8808  7444 2784 5585  0  9  0 91  0
 2  2 362184   1744     44   2708 6784 8320  8588  8320 2596 5612  0  7  0 93  0
 0  1 361360   2112     44   2612 6260 5424  6260  5424 2840 5350  0  8  0 92  0
 0  1 359860   1916     44   1112 6752 5240  6752  5240 2553 5689  0  5  0 95  0
 0  1 360172   2116     44   1176 5264 5564  5600  5564 2326 4532  0  7  0 93  0
 0  2 359468   1792     44    700 6300 5604  6300  5604 2526 5323  0  8  0 92  0
 1  1 361456   2112     44   2492 6524 8484  9600  8484 2730 5574  0 10  0 90  0
 2  1 361240   2128     44   2500 6728 6528  6728  6528 3003 5722  0 10  0 90  0
 2  2 361472   1676     44   2460 7264 7488  7264  7488 2962 6097  1  6  0 93  0
 0  1 361784   1700     44   2344 6908 7220  6908  7220 2827 5815  0 11  0 89  0
 0  2 359072   2060     44    652 6832 4088  8352  4088 2478 5748  0  7  0 93  0
 2  1 362308   1808     44   2608 6748 10020  8548 10020 3131 5686  0 13  0 87  0
 2  1 361968   1868     44   2588 6656 6316  6656  6316 3108 5661  0 11  0 89  0
 3  0 361656   1944     44   2576 6100 5792  6100  5792 2441 5185  0  9  0 91  0
 2  1 360960   1924     44   2268 6364 5664  6364  5664 2633 5415  0  4  0 96  0
 0  2 359280   1688     44    676 6820 5140  6820  5140 2870 5754  0  9  0 91  0
 0  1 370968   2316     44   2052 5720 17396  9448 17396 2482 5011  0 13  0 87  0
 0  1 363992   1984     44   2000 6964    0  7056     0 2046 5786  1  2  0 97  0
 2  1 360996   2068     44   1984 7628 4632  7628  4632 2329 6305  0  1  0 99  0
 0  1 359904   1900     44   1984 7472 6380  7472  6380 2771 6274  0  8  0 92  0
 1  1 367136   1984     44    668 7008 14192  8360 14192 2612 5899  0  8  0 92  0
 2  1 364008   2008     44   2740 6852 3748  9264  3748 2082 5674  0  2  0 98  0
 0  1 367852   2096     44   2484 7012 10836  7036 10836 2061 5788  0  4  0 96  0
 0  1 360156   2048     44   2488 8552  856  8552   856 2464 7018  0  2  0 98  0
 2  1 365680   1720     44   2460 7760 13284  7760 13284 2264 6416  0  1  0 99  0
 2  1 361980   1912     44   1136 7916 4172  8840  4172 2311 6519  0  3  0 97  0
End of run 5.
 0  0  22280  50932    928   6196 8048 10156 16240 10156 2397 6472  0 10 13 76  0
 0  0  22280  50884    928   6244    0    0     0     0    9   10  0  0 100  0  0
Run 6: -r 10000 -c 10000 -i c -s c:
 2  0  22932   2136     44    644    0 9676  3932  9676  212  352  8  8 80  4  0
 0  2 101388   1756     44    196 5420 123300 10160 123300 1144 2755 52 23  0 25  0
 2  0 143160   2128     44    356 12912 43384 19868 43384 1122 2791 22 14  0 65  0
 1  1 220652   1700     44    328 2080 106296 16000 106296  918 1989 48 26  0 26  0
 2  1 287440   1580     44    560  816 95232 23168 95232  885 2182 45 24  0 31  0
 0  1 363052   1736     44    872 1444 64472  4152 64472 1000 2262 47 16  0 37  0
 0  1 365496   2276     44    228 8388 11676 10144 11676 2473 6815  5  5  0 91  0
 0  1 362408   1796     44    420 7760 7700  9824  7700 2182 6100  5  5  0 91  0
 0  1 362500   1904     44    432 8332 9104 11364  9104 2161 6047  3  6  0 91  0
 0  2 362052   1952     72    576 9188 12032 12012 12032 2294 6383  8  4  0 88  0
 0  1 360464   1824     44    484 8804 7944 16084  7944 2672 7331  3  4  0 93  0
 0  1 364064   2616     44    736 25276 32188 28320 32188 1423 3951 16  9  0 75  0
 1  1 359648   1880     44    496 29476 25684 31936 25684 1404 3954 14 10  0 76  0
 0  1 360460   2096     44    296 22816 22980 25344 22980 1310 3693 12  7  0 81  0
 0  2 371204   4784     44    724 29132 38844 32800 38844 1599 4404 15 13  0 73  0
 0  1 359024   1760     44    288 25580 18172 29428 18172 1375 3795 16 10  0 74  0
 0  1 362556   1808     44    360 27748 31280 30712 31280 1357 3879 18 12  0 70  0
 0  1 362440   2000     44    256 29928 29092 33280 29092 1405 3950 13 12  0 74  0
 0  1 363988   3220     44    388 26864 30068 28952 30068 1298 3589 14  9  0 77  0
 0  2 369464   1784     48   1304 25672 41764 34500 41764 1541 4193 16 15  0 69  0
 0  1 367752   2984     44    296 32224 32980 34692 32980 1499 4232 16 13  0 71  0
 1  1 359708   1512     44    432 32456 26416 35108 26416 1532 4316 21  7  0 72  0
 0  2 362096   2136     44    520 25296 25432 28196 25432 1329 3786 12  8  0 80  0
 0  1 362312   1920     44    392 26876 29176 33008 29176 1524 4094 14 11  0 74  0
 0  2 364844   1988    568   1720 25332 23516 31388 23516 1480 3958 15 12  0 73  0
End of run 6.
 0  1  26920  49400     48   4340 22504 25804 35804 25804 1550 4274 14 17  0 69  0
 0  0  26872  47588    804   5596   44    0  1876     0  131  216  0  0 97  3  0
